Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
129,33,7,11,8,Some Random Commen with Id 129
130,33,7,111,5,Some Random Commen with Id 130
131,33,7,2,3,Some Random Commen with Id 131
132,34,0,98,7,Some Random Commen with Id 132
133,34,0,155,1,Some Random Commen with Id 133
134,34,0,74,9,Some Random Commen with Id 134
135,35,7,15,7,Some Random Commen with Id 135
136,36,8,195,6,Some Random Commen with Id 136
137,37,7,44,0,Some Random Commen with Id 137
138,37,7,187,6,Some Random Commen with Id 138
139,38,2,168,7,Some Random Commen with Id 139
140,38,2,174,2,Some Random Commen with Id 140
141,38,2,157,2,Some Random Commen with Id 141
142,38,2,65,7,Some Random Commen with Id 142
143,38,2,97,9,Some Random Commen with Id 143
144,38,2,78,2,Some Random Commen with Id 144
145,39,6,44,2,Some Random Commen with Id 145
146,39,6,148,3,Some Random Commen with Id 146
